,Y_bit,param_C,param_solver,Y_bit_pct,mean_test_score,precision,accuracy,recall,f1,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,random_seed
52,52,0.025,lbfgs,0.10132034632034632,0.6250450516316174,0.3,0.9003968253968254,0.002398081534772182,0.004758128469468675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
53,53,0.025,lbfgs,0.34945887445887447,0.6343324224276605,0.5886524822695035,0.6599206349206349,0.09410430839002268,0.16226783968719452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
57,57,0.025,lbfgs,0.1566991341991342,0.5878039747206506,0.5897435897435898,0.8476984126984127,0.011941848390446522,0.02340966921119593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
78,78,0.025,lbfgs,0.4033333333333333,0.5601895181039758,0.38461538461538464,0.606904761904762,0.002021427127552052,0.00402171727327569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
79,79,0.025,lbfgs,0.3228896103896104,0.5351962691976956,0.45454545454545453,0.6877777777777778,0.005089058524173028,0.010065425264217415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
80,80,0.025,lbfgs,0.2691341991341991,0.5551715770970892,0.5,0.7342857142857143,0.0005973715651135006,0.0011933174224343674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
83,83,0.025,lbfgs,0.3522727272727273,0.5355748638860711,0.3076923076923077,0.6579365079365079,0.0009291521486643438,0.0018527095877721167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
84,84,0.025,lbfgs,0.37942640692640694,0.5497189062384704,0.5980392156862745,0.6201587301587301,0.012692467748647523,0.024857375713121434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
86,86,0.025,lbfgs,0.6182251082251082,0.5523770864693736,0.6203221411972113,0.6183333333333333,0.9909114183307731,0.7629983736632006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
87,87,0.025,lbfgs,0.5289935064935065,0.5546365257378297,0.5291941160545077,0.5337301587301587,0.8991107022385771,0.6662500710106232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
91,91,0.025,lbfgs,0.3256926406926407,0.5546338276138812,0.0,0.6846825396825397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
94,94,0.025,lbfgs,0.4367965367965368,0.5535000257201647,0.47101449275362317,0.5701587301587302,0.024074074074074074,0.04580690627202255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
95,95,0.025,lbfgs,0.3991017316017316,0.5359857716882945,0.5170068027210885,0.6158730158730159,0.01568627450980392,0.03044871794871794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
96,96,0.025,lbfgs,0.28964285714285715,0.5428403664082557,1.0,0.7141269841269842,0.0002775464890369137,0.0005549389567147614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
98,98,0.025,lbfgs,0.116504329004329,0.5222747152934804,0.0,0.8838095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
99,99,0.025,lbfgs,0.40095238095238095,0.5399533179052657,0.5588235294117647,0.6065079365079366,0.0038291011688835145,0.007606084867894315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
100,100,0.025,lbfgs,0.18797619047619046,0.525737057324,0.0,0.7991269841269841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
102,102,0.025,lbfgs,0.6665584415584416,0.5305651591927607,0.6592156550791505,0.6586507936507936,0.9979527938342967,0.7939640718562874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
103,103,0.025,lbfgs,0.6100541125541126,0.5207046666376144,0.6096,0.6081746031746031,0.9925752246971473,0.7553154581949745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
104,104,0.025,lbfgs,0.20112554112554112,0.5560085632114444,0.0,0.8016666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
107,107,0.025,lbfgs,0.28933982683982684,0.5392228582587358,0.3333333333333333,0.7217460317460317,0.0005707762557077625,0.0011396011396011395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
108,108,0.025,lbfgs,0.27570346320346323,0.5505348426676848,0.43478260869565216,0.7223809523809523,0.002861230329041488,0.005685048322910745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
110,110,0.025,lbfgs,0.5360173160173161,0.5552173472617916,0.5454298887984812,0.544047619047619,0.8937777777777778,0.6774465218123632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
111,111,0.025,lbfgs,0.4611038961038961,0.5534789473684211,0.5197685631629702,0.5508730158730158,0.09456140350877193,0.1600118747216862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
127,127,0.025,lbfgs,0.10781385281385282,0.6107266421010445,0.16666666666666666,0.903015873015873,0.0008210180623973727,0.001633986928104575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
140,140,0.025,lbfgs,0.25755411255411254,0.5903002263486196,0.5408163265306123,0.7420634920634921,0.016267648864333947,0.031585220500595944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
141,141,0.025,lbfgs,0.5117748917748918,0.6157980516118418,0.5576464983325393,0.5682539682539682,0.730649188514357,0.6325317481761685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
142,142,0.025,lbfgs,0.18274891774891774,0.5692773843698836,0.4857142857142857,0.8227777777777778,0.0076164874551971325,0.014997794441993825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
143,143,0.025,lbfgs,0.36557359307359305,0.5817259429917565,0.5720164609053497,0.6534920634920635,0.031583730970234036,0.059862187769164514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
144,144,0.025,lbfgs,0.2704329004329004,0.5299496802251609,0.0,0.7312698412698413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
146,146,0.025,lbfgs,0.33086580086580086,0.544465116151299,0.5285714285714286,0.6731746031746032,0.008976225133430374,0.017652671755725192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
147,147,0.025,lbfgs,0.5129329004329004,0.5343176526602375,0.5077568543272515,0.5109523809523809,0.8232874545166904,0.6281231140615571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
148,148,0.025,lbfgs,0.20097402597402597,0.5507068044735643,0.1,0.7974603174603174,0.00039308176100628933,0.0007830853563038372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
149,149,0.025,lbfgs,0.3989935064935065,0.5295009570616503,0.45714285714285713,0.615,0.0033003300330033004,0.006553348351423305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
150,150,0.025,lbfgs,0.43993506493506496,0.5293716365938588,0.5349544072948328,0.558968253968254,0.031541218637992835,0.05957014723303436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
151,151,0.025,lbfgs,0.5013095238095238,0.5321438707132026,0.5043034281546317,0.518015873015873,0.5637638617090672,0.5323785323785325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
152,152,0.025,lbfgs,0.10073593073593073,0.5976063132568753,1.0,0.8965873015873016,0.00382262996941896,0.007616146230007615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
153,153,0.025,lbfgs,0.13004329004329004,0.5893575013677775,0.2608695652173913,0.8641269841269841,0.003527336860670194,0.006960556844547563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
154,154,0.025,lbfgs,0.31347402597402596,0.5610954446895756,0.45794392523364486,0.6833333333333333,0.012308465209746294,0.023972602739726026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
155,155,0.025,lbfgs,0.5595779220779221,0.596758969194795,0.5768153980752406,0.5741269841269842,0.9257231114855378,0.7107589478223372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
156,156,0.025,lbfgs,0.2914285714285714,0.5458442009428643,0.4444444444444444,0.6992063492063492,0.004226096143687269,0.00837257980115123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
157,157,0.025,lbfgs,0.616439393939394,0.5852333113382819,0.6215780998389694,0.6194444444444445,0.9878438899552143,0.7630343464294539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,6666
