Metadata_Compound_Source,Metadata_JCP2022
source_1,JCP2022_003665
source_1,JCP2022_003691
source_1,JCP2022_003697
source_1,JCP2022_003699
source_1,JCP2022_003714
source_1,JCP2022_003726
source_1,JCP2022_003792
source_1,JCP2022_003797
source_1,JCP2022_003800
source_1,JCP2022_003803
source_1,JCP2022_003810
source_1,JCP2022_003812
source_1,JCP2022_003816
source_1,JCP2022_003823
source_1,JCP2022_003825
source_1,JCP2022_003834
source_1,JCP2022_003840
source_1,JCP2022_003851
source_1,JCP2022_003872
source_1,JCP2022_003881
source_1,JCP2022_003886
source_1,JCP2022_003887
source_1,JCP2022_003899
source_1,JCP2022_003917
source_1,JCP2022_003932
source_1,JCP2022_003938
source_1,JCP2022_003940
source_1,JCP2022_003961
source_1,JCP2022_003990
source_1,JCP2022_003999
source_1,JCP2022_004003
source_1,JCP2022_004007
source_1,JCP2022_004031
source_1,JCP2022_004047
source_1,JCP2022_004054
source_1,JCP2022_004066
source_1,JCP2022_004067
source_1,JCP2022_004069
source_1,JCP2022_004086
source_1,JCP2022_004091
source_1,JCP2022_004108
source_1,JCP2022_004112
source_1,JCP2022_004127
source_1,JCP2022_004129
source_1,JCP2022_004130
source_1,JCP2022_004165
source_1,JCP2022_004166
source_1,JCP2022_004169
source_1,JCP2022_004171
source_1,JCP2022_004175
source_1,JCP2022_004191
source_1,JCP2022_004206
source_1,JCP2022_004224
source_1,JCP2022_004226
source_1,JCP2022_004227
source_1,JCP2022_004238
source_1,JCP2022_004244
source_1,JCP2022_004246
source_1,JCP2022_004247
source_1,JCP2022_004261
source_1,JCP2022_004270
source_1,JCP2022_004279
source_1,JCP2022_004283
source_1,JCP2022_004292
source_1,JCP2022_004296
source_1,JCP2022_004303
source_1,JCP2022_004306
source_1,JCP2022_004307
source_1,JCP2022_004315
source_1,JCP2022_004339
source_1,JCP2022_004344
source_1,JCP2022_004355
source_1,JCP2022_004358
source_1,JCP2022_004374
source_1,JCP2022_004378
source_1,JCP2022_004386
source_1,JCP2022_004396
source_1,JCP2022_004397
source_1,JCP2022_004403
source_1,JCP2022_004407
source_1,JCP2022_004417
source_1,JCP2022_004424
source_1,JCP2022_004458
source_1,JCP2022_004460
source_1,JCP2022_004479
source_1,JCP2022_004481
source_1,JCP2022_004487
source_1,JCP2022_004492
source_1,JCP2022_004498
source_1,JCP2022_004508
source_1,JCP2022_004512
source_1,JCP2022_004514
source_1,JCP2022_004520
source_1,JCP2022_004526
source_1,JCP2022_004527
source_1,JCP2022_004556
source_1,JCP2022_004602
source_1,JCP2022_004606
source_1,JCP2022_004612
source_1,JCP2022_004615
source_1,JCP2022_004652
source_1,JCP2022_004659
source_1,JCP2022_004668
source_1,JCP2022_004672
source_1,JCP2022_004682
source_1,JCP2022_004687
source_1,JCP2022_004702
source_1,JCP2022_004706
source_1,JCP2022_004709
source_1,JCP2022_004714
source_1,JCP2022_004717
source_1,JCP2022_004719
source_1,JCP2022_004722
source_1,JCP2022_004723
source_1,JCP2022_004730
source_1,JCP2022_004738
source_1,JCP2022_004743
source_1,JCP2022_004744
source_1,JCP2022_004746
source_1,JCP2022_004753
source_1,JCP2022_004763
source_1,JCP2022_004769
source_1,JCP2022_004777
source_1,JCP2022_004779
source_1,JCP2022_004782
source_1,JCP2022_004799
source_1,JCP2022_004801
source_1,JCP2022_004814
source_1,JCP2022_004815
source_1,JCP2022_004817
source_1,JCP2022_004830
source_1,JCP2022_004853
source_1,JCP2022_004862
source_1,JCP2022_004874
source_1,JCP2022_004876
source_1,JCP2022_004892
source_1,JCP2022_004904
source_1,JCP2022_004905
source_1,JCP2022_004916
source_1,JCP2022_004934
source_1,JCP2022_004957
source_1,JCP2022_004978
source_1,JCP2022_004982
source_1,JCP2022_004991
source_1,JCP2022_005004
source_1,JCP2022_005030
source_1,JCP2022_005037
source_1,JCP2022_005044
source_1,JCP2022_005045
source_1,JCP2022_005048
source_1,JCP2022_005049
source_1,JCP2022_005059
source_1,JCP2022_005063
source_1,JCP2022_005069
source_1,JCP2022_005072
source_1,JCP2022_005075
source_1,JCP2022_005095
source_1,JCP2022_005114
source_1,JCP2022_005119
source_1,JCP2022_005130
source_1,JCP2022_005147
source_1,JCP2022_005154
source_1,JCP2022_005172
source_1,JCP2022_005174
source_1,JCP2022_005175
source_1,JCP2022_005176
source_1,JCP2022_005189
source_1,JCP2022_005191
source_1,JCP2022_005206
source_1,JCP2022_005228
source_1,JCP2022_005241
source_1,JCP2022_005243
source_1,JCP2022_005256
source_1,JCP2022_005260
source_1,JCP2022_005266
source_1,JCP2022_005267
source_1,JCP2022_005272
source_1,JCP2022_005281
source_1,JCP2022_005300
source_1,JCP2022_005302
source_1,JCP2022_005304
source_1,JCP2022_005309
source_1,JCP2022_005339
source_1,JCP2022_005347
source_1,JCP2022_005356
source_1,JCP2022_005379
source_1,JCP2022_005383
source_1,JCP2022_005384
source_1,JCP2022_005388
source_1,JCP2022_005398
source_1,JCP2022_005406
source_1,JCP2022_005408
source_1,JCP2022_005413
source_1,JCP2022_005414
source_1,JCP2022_005432
source_1,JCP2022_005440
source_1,JCP2022_005444
source_1,JCP2022_005446
source_1,JCP2022_005453
source_1,JCP2022_005477
source_1,JCP2022_005494
source_1,JCP2022_005496
source_1,JCP2022_005518
source_1,JCP2022_005520
source_1,JCP2022_005528
source_1,JCP2022_005531
source_1,JCP2022_005539
source_1,JCP2022_005540
source_1,JCP2022_005548
source_1,JCP2022_005563
source_1,JCP2022_005571
source_1,JCP2022_005577
source_1,JCP2022_005586
source_1,JCP2022_005622
source_1,JCP2022_005630
source_1,JCP2022_005641
source_1,JCP2022_005658
source_1,JCP2022_005666
source_1,JCP2022_005671
source_1,JCP2022_005682
source_1,JCP2022_005683
source_1,JCP2022_005692
source_1,JCP2022_005696
source_1,JCP2022_005697
source_1,JCP2022_005711
source_1,JCP2022_005717
source_1,JCP2022_005720
source_1,JCP2022_005728
source_1,JCP2022_005733
source_1,JCP2022_005739
source_1,JCP2022_005741
source_1,JCP2022_005750
source_1,JCP2022_005758
source_1,JCP2022_005765
source_1,JCP2022_005772
source_1,JCP2022_005774
source_1,JCP2022_005780
source_1,JCP2022_005811
source_1,JCP2022_005825
source_1,JCP2022_005849
source_1,JCP2022_005875
source_1,JCP2022_005893
source_1,JCP2022_005902
source_1,JCP2022_005906
source_1,JCP2022_005908
source_1,JCP2022_005915
source_1,JCP2022_005941
source_1,JCP2022_005948
source_1,JCP2022_005952
source_1,JCP2022_005960
source_1,JCP2022_005977
source_1,JCP2022_005982
source_1,JCP2022_005984
source_1,JCP2022_005986
source_1,JCP2022_005988
source_1,JCP2022_005991
source_1,JCP2022_005998
source_1,JCP2022_006014
source_1,JCP2022_006049
source_1,JCP2022_006080
source_1,JCP2022_006087
source_1,JCP2022_006093
source_1,JCP2022_006107
source_1,JCP2022_006134
source_1,JCP2022_006142
source_1,JCP2022_006148
source_1,JCP2022_006157
source_1,JCP2022_006168
source_1,JCP2022_006169
source_1,JCP2022_006204
source_1,JCP2022_006215
source_1,JCP2022_006216
source_1,JCP2022_006218
source_1,JCP2022_006224
source_1,JCP2022_006227
source_1,JCP2022_006229
source_1,JCP2022_006236
source_1,JCP2022_006242
source_1,JCP2022_006243
source_1,JCP2022_006245
source_1,JCP2022_006266
source_1,JCP2022_006268
source_1,JCP2022_006277
source_1,JCP2022_006280
source_1,JCP2022_006284
source_1,JCP2022_006313
source_1,JCP2022_006314
source_1,JCP2022_006317
source_1,JCP2022_006333
source_1,JCP2022_006335
source_1,JCP2022_006345
source_1,JCP2022_006346
source_1,JCP2022_006350
source_1,JCP2022_006358
source_1,JCP2022_006375
source_1,JCP2022_006386
source_1,JCP2022_006389
source_1,JCP2022_006402
source_1,JCP2022_006409
source_1,JCP2022_006410
source_1,JCP2022_006418
source_1,JCP2022_006420
source_1,JCP2022_006432
source_1,JCP2022_006460
source_1,JCP2022_006462
source_1,JCP2022_006463
source_1,JCP2022_006479
source_1,JCP2022_006480
source_1,JCP2022_006489
source_1,JCP2022_006492
source_1,JCP2022_006513
source_1,JCP2022_006515
source_1,JCP2022_006527
source_1,JCP2022_006532
source_1,JCP2022_006535
source_1,JCP2022_006544
source_1,JCP2022_006549
source_1,JCP2022_006556
source_1,JCP2022_006563
source_1,JCP2022_006586
source_1,JCP2022_006591
source_1,JCP2022_006598
source_1,JCP2022_006600
source_1,JCP2022_006602
source_1,JCP2022_006612
source_1,JCP2022_006617
source_1,JCP2022_006622
source_1,JCP2022_006624
source_1,JCP2022_006632
source_1,JCP2022_006634
source_1,JCP2022_006660
source_1,JCP2022_006672
source_1,JCP2022_006686
source_1,JCP2022_006689
source_1,JCP2022_006691
source_1,JCP2022_006695
source_1,JCP2022_006705
source_1,JCP2022_006708
source_1,JCP2022_006724
source_1,JCP2022_006725
source_1,JCP2022_006726
source_1,JCP2022_006748
source_1,JCP2022_006792
source_1,JCP2022_006796
source_1,JCP2022_006797
source_1,JCP2022_006803
source_1,JCP2022_006804
source_1,JCP2022_006809
source_1,JCP2022_006830
source_1,JCP2022_006833
source_1,JCP2022_006851
source_1,JCP2022_006853
source_1,JCP2022_006855
source_1,JCP2022_006866
source_1,JCP2022_006867
source_1,JCP2022_006886
source_1,JCP2022_006888
source_1,JCP2022_006899
source_1,JCP2022_006910
source_1,JCP2022_006912
source_1,JCP2022_006931
source_1,JCP2022_006938
source_1,JCP2022_006942
source_1,JCP2022_006943
source_1,JCP2022_006981
source_1,JCP2022_006984
source_1,JCP2022_006997
source_1,JCP2022_007012
source_1,JCP2022_007013
source_1,JCP2022_007025
source_1,JCP2022_007031
source_1,JCP2022_007038
source_1,JCP2022_007040
source_1,JCP2022_007042
source_1,JCP2022_007046
source_1,JCP2022_007066
source_1,JCP2022_007091
source_1,JCP2022_007106
source_1,JCP2022_007111
source_1,JCP2022_007118
source_1,JCP2022_007136
source_1,JCP2022_007137
source_1,JCP2022_007153
source_1,JCP2022_007169
source_1,JCP2022_007179
source_1,JCP2022_007197
source_1,JCP2022_007213
source_1,JCP2022_007215
source_1,JCP2022_007220
source_1,JCP2022_007224
source_1,JCP2022_007225
source_1,JCP2022_007228
source_1,JCP2022_007229
source_1,JCP2022_007242
source_1,JCP2022_007247
source_1,JCP2022_007248
source_1,JCP2022_007263
source_1,JCP2022_007279
source_1,JCP2022_007289
source_1,JCP2022_007304
source_1,JCP2022_007306
source_1,JCP2022_007307
source_1,JCP2022_007312
source_1,JCP2022_007314
source_1,JCP2022_007316
source_1,JCP2022_007321
source_1,JCP2022_007324
source_1,JCP2022_007327
source_1,JCP2022_007335
source_1,JCP2022_007350
source_1,JCP2022_007352
source_1,JCP2022_007354
source_1,JCP2022_007357
source_1,JCP2022_007363
source_1,JCP2022_007364
source_1,JCP2022_007373
source_1,JCP2022_007377
source_1,JCP2022_007388
source_1,JCP2022_007392
source_1,JCP2022_007401
source_1,JCP2022_007417
source_1,JCP2022_007440
source_1,JCP2022_007458
source_1,JCP2022_007461
source_1,JCP2022_007466
source_1,JCP2022_007473
source_1,JCP2022_007488
source_1,JCP2022_007492
source_1,JCP2022_007494
source_1,JCP2022_007514
source_1,JCP2022_007541
source_1,JCP2022_007544
source_1,JCP2022_007546
source_1,JCP2022_007566
source_1,JCP2022_007574
source_1,JCP2022_007586
source_1,JCP2022_007588
source_1,JCP2022_007594
source_1,JCP2022_007597
source_1,JCP2022_007604
source_1,JCP2022_007637
source_1,JCP2022_007657
source_1,JCP2022_007659
source_1,JCP2022_007670
source_1,JCP2022_007673
source_1,JCP2022_007674
source_1,JCP2022_007692
source_1,JCP2022_007699
source_1,JCP2022_007706
source_1,JCP2022_007710
source_1,JCP2022_007713
source_1,JCP2022_007751
source_1,JCP2022_007752
source_1,JCP2022_007760
source_1,JCP2022_007776
source_1,JCP2022_007830
source_1,JCP2022_007831
source_1,JCP2022_007835
source_1,JCP2022_007838
source_1,JCP2022_007845
source_1,JCP2022_007868
source_1,JCP2022_007901
source_1,JCP2022_007908
source_1,JCP2022_007916
source_1,JCP2022_007917
source_1,JCP2022_007919
source_1,JCP2022_007937
source_1,JCP2022_007939
source_1,JCP2022_007945
source_1,JCP2022_007947
source_1,JCP2022_007963
source_1,JCP2022_007971
source_1,JCP2022_007979
source_1,JCP2022_007989
source_1,JCP2022_008006
source_1,JCP2022_008013
source_1,JCP2022_008015
source_1,JCP2022_008025
source_1,JCP2022_008031
source_1,JCP2022_008050
source_1,JCP2022_008058
source_1,JCP2022_008064
source_1,JCP2022_008087
source_1,JCP2022_008091
source_1,JCP2022_008092
source_1,JCP2022_008096
source_1,JCP2022_008099
source_1,JCP2022_008116
source_1,JCP2022_008140
source_1,JCP2022_008143
source_1,JCP2022_008155
source_1,JCP2022_008163
source_1,JCP2022_008168
source_1,JCP2022_008176
source_1,JCP2022_008177
source_1,JCP2022_008181
source_1,JCP2022_008190
source_1,JCP2022_008193
source_1,JCP2022_008219
source_1,JCP2022_008229
source_1,JCP2022_008231
source_1,JCP2022_008233
source_1,JCP2022_008238
source_1,JCP2022_008258
source_1,JCP2022_008273
source_1,JCP2022_008286
source_1,JCP2022_008297
source_1,JCP2022_008335
source_1,JCP2022_008392
source_1,JCP2022_008400
source_1,JCP2022_008403
source_1,JCP2022_008417
source_1,JCP2022_008419
source_1,JCP2022_008432
source_1,JCP2022_008440
source_1,JCP2022_008464
source_1,JCP2022_008466
source_1,JCP2022_008469
source_1,JCP2022_008501
source_1,JCP2022_008505
source_1,JCP2022_008506
source_1,JCP2022_008510
source_1,JCP2022_008521
source_1,JCP2022_008548
source_1,JCP2022_008554
source_1,JCP2022_008557
source_1,JCP2022_008562
source_1,JCP2022_008563
source_1,JCP2022_008566
source_1,JCP2022_008568
source_1,JCP2022_008581
source_1,JCP2022_008591
source_1,JCP2022_008613
source_1,JCP2022_008615
source_1,JCP2022_008617
source_1,JCP2022_008621
source_1,JCP2022_008632
source_1,JCP2022_008650
source_1,JCP2022_008677
source_1,JCP2022_008687
source_1,JCP2022_008694
source_1,JCP2022_008697
source_1,JCP2022_008704
source_1,JCP2022_008710
source_1,JCP2022_008739
source_1,JCP2022_008768
source_1,JCP2022_008790
source_1,JCP2022_008795
source_1,JCP2022_008816
source_1,JCP2022_008822
source_1,JCP2022_008827
source_1,JCP2022_008835
source_1,JCP2022_008843
source_1,JCP2022_008849
source_1,JCP2022_008886
source_1,JCP2022_008887
source_1,JCP2022_008889
source_1,JCP2022_008909
source_1,JCP2022_008919
source_1,JCP2022_008929
source_1,JCP2022_008945
source_1,JCP2022_008948
source_1,JCP2022_008955
source_1,JCP2022_008973
source_1,JCP2022_009002
source_1,JCP2022_009011
source_1,JCP2022_009042
source_1,JCP2022_009068
source_1,JCP2022_009071
source_1,JCP2022_009100
source_1,JCP2022_009105
source_1,JCP2022_009106
source_1,JCP2022_009122
source_1,JCP2022_009132
source_1,JCP2022_009149
source_1,JCP2022_009156
source_1,JCP2022_009160
source_1,JCP2022_009164
source_1,JCP2022_009174
source_1,JCP2022_009184
source_1,JCP2022_009189
source_1,JCP2022_009198
source_1,JCP2022_009210
source_1,JCP2022_009220
source_1,JCP2022_009221
source_1,JCP2022_009227
source_1,JCP2022_009256
source_1,JCP2022_009287
source_1,JCP2022_009292
source_1,JCP2022_009312
source_1,JCP2022_009320
source_1,JCP2022_009325
source_1,JCP2022_009343
source_1,JCP2022_009351
source_1,JCP2022_009357
source_1,JCP2022_009362
source_1,JCP2022_009373
